Species: 1: 1. Tains Ants;  
Nations: 2: 1. First Nation;  2. Second Nation;  
Bases:   2: 1. Base, 500, 500;  2. Base, 510, 510;  
Tains Ants, Second Nation, 79: 427, 842, 171
Tains Ants, Second Nation, 80: 510, 178, 359
Tains Ants, Second Nation, 81: 510, 842, 187
Tains Ants, Second Nation, 82: 427, 178, 15
Tains Ants, Second Nation, 83: 676, 842, 203
Tains Ants, Second Nation, 84: 344, 261, 31
Tains Ants, Second Nation, 85: 759, 759, 219
Tains Ants, Second Nation, 86: 261, 261, 47
Tains Ants, Second Nation, 87: 759, 676, 235
Tains Ants, Second Nation, 88: 178, 344, 63
Tains Ants, Second Nation, 89: 842, 593, 251
Tains Ants, Second Nation, 90: 178, 427, 79
Tains Ants, Second Nation, 91: 842, 510, 268
Tains Ants, Second Nation, 92: 178, 510, 96
Tains Ants, Second Nation, 93: 842, 427, 284
Tains Ants, Second Nation, 94: 178, 593, 112
Tains Ants, Second Nation, 95: 759, 344, 300
Tains Ants, Second Nation, 96: 261, 676, 128
Tains Ants, Second Nation, 97: 759, 261, 316
Tains Ants, Second Nation, 98: 344, 759, 144
Tains Ants, Second Nation, 99: 676, 178, 332
Tains Ants, Second Nation, 100: 427, 842, 160
*********************
 Round, 84:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 836, 584, 261
Tains Ants, First Nation, 2: 164, 500, 89
Tains Ants, First Nation, 3: 836, 500, 277
Tains Ants, First Nation, 4: 164, 584, 105
Tains Ants, First Nation, 5: 836, 332, 293
Tains Ants, First Nation, 6: 248, 668, 121
Tains Ants, First Nation, 7: 752, 248, 309
Tains Ants, First Nation, 8: 248, 752, 137
Tains Ants, First Nation, 9: 668, 248, 326
Tains Ants, First Nation, 10: 332, 836, 154
Tains Ants, First Nation, 11: 584, 164, 342
Tains Ants, First Nation, 12: 416, 836, 170
Tains Ants, First Nation, 13: 500, 164, 358
Tains Ants, First Nation, 14: 500, 836, 186
Tains Ants, First Nation, 15: 416, 164, 14
Tains Ants, First Nation, 16: 584, 836, 202
Tains Ants, First Nation, 17: 332, 248, 30
Tains Ants, First Nation, 18: 668, 752, 218
Tains Ants, First Nation, 19: 248, 248, 46
Tains Ants, First Nation, 20: 752, 668, 234
Tains Ants, First Nation, 21: 164, 332, 62
Tains Ants, First Nation, 22: 836, 584, 250
Tains Ants, First Nation, 23: 164, 416, 79
Tains Ants, First Nation, 24: 836, 500, 267
Tains Ants, First Nation, 25: 164, 500, 95
Tains Ants, First Nation, 26: 836, 416, 283
Tains Ants, First Nation, 27: 164, 584, 111
Tains Ants, First Nation, 28: 752, 332, 299
Tains Ants, First Nation, 29: 248, 668, 127
Tains Ants, First Nation, 30: 752, 248, 315
Tains Ants, First Nation, 31: 332, 752, 143
Tains Ants, First Nation, 32: 668, 248, 331
Tains Ants, First Nation, 33: 416, 836, 159
Tains Ants, First Nation, 34: 584, 164, 347
Tains Ants, First Nation, 35: 500, 836, 175
Tains Ants, First Nation, 36: 500, 164, 4
Tains Ants, First Nation, 37: 584, 836, 192
Tains Ants, First Nation, 38: 416, 164, 20
Tains Ants, First Nation, 39: 668, 836, 208
Tains Ants, First Nation, 40: 332, 248, 36
Tains Ants, First Nation, 41: 752, 752, 224
Tains Ants, First Nation, 42: 248, 332, 52
Tains Ants, First Nation, 43: 752, 668, 240
Tains Ants, First Nation, 44: 164, 416, 68
Tains Ants, First Nation, 45: 836, 584, 256
Tains Ants, First Nation, 46: 164, 500, 84
Tains Ants, First Nation, 47: 836, 500, 272
Tains Ants, First Nation, 48: 164, 584, 100
Tains Ants, First Nation, 49: 836, 416, 288
Tains Ants, First Nation, 50: 164, 668, 117
Tains Ants, Second Nation, 51: 762, 342, 305
Tains Ants, Second Nation, 52: 258, 762, 133
Tains Ants, Second Nation, 53: 762, 258, 321
Tains Ants, Second Nation, 54: 342, 762, 149
Tains Ants, Second Nation, 55: 678, 174, 337
Tains Ants, Second Nation, 56: 426, 846, 165
Tains Ants, Second Nation, 57: 510, 174, 353
Tains Ants, Second Nation, 58: 510, 846, 181
Tains Ants, Second Nation, 59: 426, 174, 9
Tains Ants, Second Nation, 60: 594, 846, 197
Tains Ants, Second Nation, 61: 342, 174, 25
Tains Ants, Second Nation, 62: 678, 762, 213
Tains Ants, Second Nation, 63: 258, 258, 41
Tains Ants, Second Nation, 64: 762, 762, 230
Tains Ants, Second Nation, 65: 258, 342, 58
Tains Ants, Second Nation, 66: 846, 678, 246
Tains Ants, Second Nation, 67: 174, 426, 74
Tains Ants, Second Nation, 68: 846, 594, 262
Tains Ants, Second Nation, 69: 174, 510, 90
Tains Ants, Second Nation, 70: 846, 426, 278
Tains Ants, Second Nation, 71: 174, 594, 106
Tains Ants, Second Nation, 72: 846, 342, 294
Tains Ants, Second Nation, 73: 258, 678, 122
Tains Ants, Second Nation, 74: 762, 258, 310
Tains Ants, Second Nation, 75: 258, 762, 138
Tains Ants, Second Nation, 76: 678, 258, 326
Tains Ants, Second Nation, 77: 342, 846, 155
Tains Ants, Second Nation, 78: 594, 174, 343
Tains Ants, Second Nation, 79: 426, 846, 171
Tains Ants, Second Nation, 80: 510, 174, 359
Tains Ants, Second Nation, 81: 510, 846, 187
Tains Ants, Second Nation, 82: 426, 174, 15
Tains Ants, Second Nation, 83: 678, 846, 203
Tains Ants, Second Nation, 84: 342, 258, 31
Tains Ants, Second Nation, 85: 762, 762, 219
Tains Ants, Second Nation, 86: 258, 258, 47
Tains Ants, Second Nation, 87: 762, 678, 235
Tains Ants, Second Nation, 88: 174, 342, 63
Tains Ants, Second Nation, 89: 846, 594, 251
Tains Ants, Second Nation, 90: 174, 426, 79
Tains Ants, Second Nation, 91: 846, 510, 268
Tains Ants, Second Nation, 92: 174, 510, 96
Tains Ants, Second Nation, 93: 846, 426, 284
Tains Ants, Second Nation, 94: 174, 594, 112
Tains Ants, Second Nation, 95: 762, 342, 300
Tains Ants, Second Nation, 96: 258, 678, 128
Tains Ants, Second Nation, 97: 762, 258, 316
Tains Ants, Second Nation, 98: 342, 762, 144
Tains Ants, Second Nation, 99: 678, 174, 332
Tains Ants, Second Nation, 100: 426, 846, 160
*********************
 Round, 85:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 840, 585, 261
Tains Ants, First Nation, 2: 160, 500, 89
Tains Ants, First Nation, 3: 840, 500, 277
Tains Ants, First Nation, 4: 160, 585, 105
Tains Ants, First Nation, 5: 840, 330, 293
Tains Ants, First Nation, 6: 245, 670, 121
Tains Ants, First Nation, 7: 755, 245, 309
Tains Ants, First Nation, 8: 245, 755, 137
Tains Ants, First Nation, 9: 670, 245, 326
Tains Ants, First Nation, 10: 330, 840, 154
Tains Ants, First Nation, 11: 585, 160, 342
Tains Ants, First Nation, 12: 415, 840, 170
Tains Ants, First Nation, 13: 500, 160, 358
Tains Ants, First Nation, 14: 500, 840, 186
Tains Ants, First Nation, 15: 415, 160, 14
Tains Ants, First Nation, 16: 585, 840, 202
Tains Ants, First Nation, 17: 330, 245, 30
Tains Ants, First Nation, 18: 670, 755, 218
Tains Ants, First Nation, 19: 245, 245, 46
Tains Ants, First Nation, 20: 755, 670, 234
Tains Ants, First Nation, 21: 160, 330, 62
Tains Ants, First Nation, 22: 840, 585, 250
Tains Ants, First Nation, 23: 160, 415, 79
Tains Ants, First Nation, 24: 840, 500, 267
Tains Ants, First Nation, 25: 160, 500, 95
Tains Ants, First Nation, 26: 840, 415, 283
Tains Ants, First Nation, 27: 160, 585, 111
Tains Ants, First Nation, 28: 755, 330, 299
Tains Ants, First Nation, 29: 245, 670, 127
Tains Ants, First Nation, 30: 755, 245, 315
Tains Ants, First Nation, 31: 330, 755, 143
Tains Ants, First Nation, 32: 670, 245, 331
Tains Ants, First Nation, 33: 415, 840, 159
Tains Ants, First Nation, 34: 585, 160, 347
Tains Ants, First Nation, 35: 500, 840, 175
Tains Ants, First Nation, 36: 500, 160, 4
Tains Ants, First Nation, 37: 585, 840, 192
Tains Ants, First Nation, 38: 415, 160, 20
Tains Ants, First Nation, 39: 670, 840, 208
Tains Ants, First Nation, 40: 330, 245, 36
Tains Ants, First Nation, 41: 755, 755, 224
Tains Ants, First Nation, 42: 245, 330, 52
Tains Ants, First Nation, 43: 755, 670, 240
Tains Ants, First Nation, 44: 160, 415, 68
Tains Ants, First Nation, 45: 840, 585, 256
Tains Ants, First Nation, 46: 160, 500, 84
Tains Ants, First Nation, 47: 840, 500, 272
Tains Ants, First Nation, 48: 160, 585, 100
Tains Ants, First Nation, 49: 840, 415, 288
Tains Ants, First Nation, 50: 160, 670, 117
Tains Ants, Second Nation, 51: 765, 340, 305
Tains Ants, Second Nation, 52: 255, 765, 133
Tains Ants, Second Nation, 53: 765, 255, 321
Tains Ants, Second Nation, 54: 340, 765, 149
Tains Ants, Second Nation, 55: 680, 170, 337
Tains Ants, Second Nation, 56: 425, 850, 165
Tains Ants, Second Nation, 57: 510, 170, 353
Tains Ants, Second Nation, 58: 510, 850, 181
Tains Ants, Second Nation, 59: 425, 170, 9
Tains Ants, Second Nation, 60: 595, 850, 197
Tains Ants, Second Nation, 61: 340, 170, 25
Tains Ants, Second Nation, 62: 680, 765, 213
Tains Ants, Second Nation, 63: 255, 255, 41
Tains Ants, Second Nation, 64: 765, 765, 230
Tains Ants, Second Nation, 65: 255, 340, 58
Tains Ants, Second Nation, 66: 850, 680, 246
Tains Ants, Second Nation, 67: 170, 425, 74
Tains Ants, Second Nation, 68: 850, 595, 262
Tains Ants, Second Nation, 69: 170, 510, 90
Tains Ants, Second Nation, 70: 850, 425, 278
Tains Ants, Second Nation, 71: 170, 595, 106
Tains Ants, Second Nation, 72: 850, 340, 294
Tains Ants, Second Nation, 73: 255, 680, 122
Tains Ants, Second Nation, 74: 765, 255, 310
Tains Ants, Second Nation, 75: 255, 765, 138
Tains Ants, Second Nation, 76: 680, 255, 326
Tains Ants, Second Nation, 77: 340, 850, 155
Tains Ants, Second Nation, 78: 595, 170, 343
Tains Ants, Second Nation, 79: 425, 850, 171
Tains Ants, Second Nation, 80: 510, 170, 359
Tains Ants, Second Nation, 81: 510, 850, 187
Tains Ants, Second Nation, 82: 425, 170, 15
Tains Ants, Second Nation, 83: 680, 850, 203
Tains Ants, Second Nation, 84: 340, 255, 31
Tains Ants, Second Nation, 85: 765, 765, 219
Tains Ants, Second Nation, 86: 255, 255, 47
Tains Ants, Second Nation, 87: 765, 680, 235
Tains Ants, Second Nation, 88: 170, 340, 63
Tains Ants, Second Nation, 89: 850, 595, 251
Tains Ants, Second Nation, 90: 170, 425, 79
Tains Ants, Second Nation, 91: 850, 510, 268
Tains Ants, Second Nation, 92: 170, 510, 96
Tains Ants, Second Nation, 93: 850, 425, 284
Tains Ants, Second Nation, 94: 170, 595, 112
Tains Ants, Second Nation, 95: 765, 340, 300
Tains Ants, Second Nation, 96: 255, 680, 128
Tains Ants, Second Nation, 97: 765, 255, 316
Tains Ants, Second Nation, 98: 340, 765, 144
Tains Ants, Second Nation, 99: 680, 170, 332
Tains Ants, Second Nation, 100: 425, 850, 160
*********************
 Round, 86:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 844, 586, 261
Tains Ants, First Nation, 2: 156, 500, 89
Tains Ants, First Nation, 3: 844, 500, 277
Tains Ants, First Nation, 4: 156, 586, 105
Tains Ants, First Nation, 5: 844, 328, 293
Tains Ants, First Nation, 6: 242, 672, 121
Tains Ants, First Nation, 7: 758, 242, 309
Tains Ants, First Nation, 8: 242, 758, 137
Tains Ants, First Nation, 9: 672, 242, 326
Tains Ants, First Nation, 10: 328, 844, 154
Tains Ants, First Nation, 11: 586, 156, 342
Tains Ants, First Nation, 12: 414, 844, 170
Tains Ants, First Nation, 13: 500, 156, 358
Tains Ants, First Nation, 14: 500, 844, 186
Tains Ants, First Nation, 15: 414, 156, 14
Tains Ants, First Nation, 16: 586, 844, 202
Tains Ants, First Nation, 17: 328, 242, 30
Tains Ants, First Nation, 18: 672, 758, 218
Tains Ants, First Nation, 19: 242, 242, 46
Tains Ants, First Nation, 20: 758, 672, 234
Tains Ants, First Nation, 21: 156, 328, 62
Tains Ants, First Nation, 22: 844, 586, 250
Tains Ants, First Nation, 23: 156, 414, 79
Tains Ants, First Nation, 24: 844, 500, 267
Tains Ants, First Nation, 25: 156, 500, 95
Tains Ants, First Nation, 26: 844, 414, 283
Tains Ants, First Nation, 27: 156, 586, 111
Tains Ants, First Nation, 28: 758, 328, 299
Tains Ants, First Nation, 29: 242, 672, 127
Tains Ants, First Nation, 30: 758, 242, 315
Tains Ants, First Nation, 31: 328, 758, 143
Tains Ants, First Nation, 32: 672, 242, 331
Tains Ants, First Nation, 33: 414, 844, 159
Tains Ants, First Nation, 34: 586, 156, 347
Tains Ants, First Nation, 35: 500, 844, 175
Tains Ants, First Nation, 36: 500, 156, 4
Tains Ants, First Nation, 37: 586, 844, 192
Tains Ants, First Nation, 38: 414, 156, 20
Tains Ants, First Nation, 39: 672, 844, 208
Tains Ants, First Nation, 40: 328, 242, 36
Tains Ants, First Nation, 41: 758, 758, 224
Tains Ants, First Nation, 42: 242, 328, 52
Tains Ants, First Nation, 43: 758, 672, 240
Tains Ants, First Nation, 44: 156, 414, 68
Tains Ants, First Nation, 45: 844, 586, 256
Tains Ants, First Nation, 46: 156, 500, 84
Tains Ants, First Nation, 47: 844, 500, 272
Tains Ants, First Nation, 48: 156, 586, 100
Tains Ants, First Nation, 49: 844, 414, 288
Tains Ants, First Nation, 50: 156, 672, 117
Tains Ants, Second Nation, 51: 768, 338, 305
Tains Ants, Second Nation, 52: 252, 768, 133
Tains Ants, Second Nation, 53: 768, 252, 321
Tains Ants, Second Nation, 54: 338, 768, 149
Tains Ants, Second Nation, 55: 682, 166, 337
Tains Ants, Second Nation, 56: 424, 854, 165
Tains Ants, Second Nation, 57: 510, 166, 353
Tains Ants, Second Nation, 58: 510, 854, 181
Tains Ants, Second Nation, 59: 424, 166, 9
Tains Ants, Second Nation, 60: 596, 854, 197
Tains Ants, Second Nation, 61: 338, 166, 25
Tains Ants, Second Nation, 62: 682, 768, 213
Tains Ants, Second Nation, 63: 252, 252, 41
Tains Ants, Second Nation, 64: 768, 768, 230
Tains Ants, Second Nation, 65: 252, 338, 58
Tains Ants, Second Nation, 66: 854, 682, 246
Tains Ants, Second Nation, 67: 166, 424, 74
Tains Ants, Second Nation, 68: 854, 596, 262
Tains Ants, Second Nation, 69: 166, 510, 90
Tains Ants, Second Nation, 70: 854, 424, 278
Tains Ants, Second Nation, 71: 166, 596, 106
Tains Ants, Second Nation, 72: 854, 338, 294
Tains Ants, Second Nation, 73: 252, 682, 122
Tains Ants, Second Nation, 74: 768, 252, 310
Tains Ants, Second Nation, 75: 252, 768, 138
Tains Ants, Second Nation, 76: 682, 252, 326
Tains Ants, Second Nation, 77: 338, 854, 155
Tains Ants, Second Nation, 78: 596, 166, 343
Tains Ants, Second Nation, 79: 424, 854, 171
Tains Ants, Second Nation, 80: 510, 166, 359
Tains Ants, Second Nation, 81: 510, 854, 187
Tains Ants, Second Nation, 82: 424, 166, 15
Tains Ants, Second Nation, 83: 682, 854, 203
Tains Ants, Second Nation, 84: 338, 252, 31
Tains Ants, Second Nation, 85: 768, 768, 219
Tains Ants, Second Nation, 86: 252, 252, 47
Tains Ants, Second Nation, 87: 768, 682, 235
Tains Ants, Second Nation, 88: 166, 338, 63
Tains Ants, Second Nation, 89: 854, 596, 251
Tains Ants, Second Nation, 90: 166, 424, 79
Tains Ants, Second Nation, 91: 854, 510, 268
Tains Ants, Second Nation, 92: 166, 510, 96
Tains Ants, Second Nation, 93: 854, 424, 284
Tains Ants, Second Nation, 94: 166, 596, 112
Tains Ants, Second Nation, 95: 768, 338, 300
Tains Ants, Second Nation, 96: 252, 682, 128
Tains Ants, Second Nation, 97: 768, 252, 316
Tains Ants, Second Nation, 98: 338, 768, 144
Tains Ants, Second Nation, 99: 682, 166, 332
Tains Ants, Second Nation, 100: 424, 854, 160
*********************
 Round, 87:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 848, 587, 261
Tains Ants, First Nation, 2: 152, 500, 89
Tains Ants, First Nation, 3: 848, 500, 277
Tains Ants, First Nation, 4: 152, 587, 105
Tains Ants, First Nation, 5: 848, 326, 293
Tains Ants, First Nation, 6: 239, 674, 121
Tains Ants, First Nation, 7: 761, 239, 309
Tains Ants, First Nation, 8: 239, 761, 137
Tains Ants, First Nation, 9: 674, 239, 326
Tains Ants, First Nation, 10: 326, 848, 154
Tains Ants, First Nation, 11: 587, 152, 342
Tains Ants, First Nation, 12: 413, 848, 170
Tains Ants, First Nation, 13: 500, 152, 358
Tains Ants, First Nation, 14: 500, 848, 186
Tains Ants, First Nation, 15: 413, 152, 14
Tains Ants, First Nation, 16: 587, 848, 202
Tains Ants, First Nation, 17: 326, 239, 30
Tains Ants, First Nation, 18: 674, 761, 218
Tains Ants, First Nation, 19: 239, 239, 46
Tains Ants, First Nation, 20: 761, 674, 234
Tains Ants, First Nation, 21: 152, 326, 62
Tains Ants, First Nation, 22: 848, 587, 250
Tains Ants, First Nation, 23: 152, 413, 79
Tains Ants, First Nation, 24: 848, 500, 267
Tains Ants, First Nation, 25: 152, 500, 95
Tains Ants, First Nation, 26: 848, 413, 283
Tains Ants, First Nation, 27: 152, 587, 111
Tains Ants, First Nation, 28: 761, 326, 299
Tains Ants, First Nation, 29: 239, 674, 127
Tains Ants, First Nation, 30: 761, 239, 315
Tains Ants, First Nation, 31: 326, 761, 143
Tains Ants, First Nation, 32: 674, 239, 331
Tains Ants, First Nation, 33: 413, 848, 159
Tains Ants, First Nation, 34: 587, 152, 347
Tains Ants, First Nation, 35: 500, 848, 175
Tains Ants, First Nation, 36: 500, 152, 4
Tains Ants, First Nation, 37: 587, 848, 192
Tains Ants, First Nation, 38: 413, 152, 20
Tains Ants, First Nation, 39: 674, 848, 208
Tains Ants, First Nation, 40: 326, 239, 36
Tains Ants, First Nation, 41: 761, 761, 224
Tains Ants, First Nation, 42: 239, 326, 52
Tains Ants, First Nation, 43: 761, 674, 240
Tains Ants, First Nation, 44: 152, 413, 68
Tains Ants, First Nation, 45: 848, 587, 256
Tains Ants, First Nation, 46: 152, 500, 84
Tains Ants, First Nation, 47: 848, 500, 272
Tains Ants, First Nation, 48: 152, 587, 100
Tains Ants, First Nation, 49: 848, 413, 288
Tains Ants, First Nation, 50: 152, 674, 117
Tains Ants, Second Nation, 51: 771, 336, 305
Tains Ants, Second Nation, 52: 249, 771, 133
Tains Ants, Second Nation, 53: 771, 249, 321
Tains Ants, Second Nation, 54: 336, 771, 149
Tains Ants, Second Nation, 55: 684, 162, 337
Tains Ants, Second Nation, 56: 423, 858, 165
Tains Ants, Second Nation, 57: 510, 162, 353
Tains Ants, Second Nation, 58: 510, 858, 181
Tains Ants, Second Nation, 59: 423, 162, 9
Tains Ants, Second Nation, 60: 597, 858, 197
Tains Ants, Second Nation, 61: 336, 162, 25
Tains Ants, Second Nation, 62: 684, 771, 213
Tains Ants, Second Nation, 63: 249, 249, 41
Tains Ants, Second Nation, 64: 771, 771, 230
Tains Ants, Second Nation, 65: 249, 336, 58
Tains Ants, Second Nation, 66: 858, 684, 246
Tains Ants, Second Nation, 67: 162, 423, 74
Tains Ants, Second Nation, 68: 858, 597, 262
Tains Ants, Second Nation, 69: 162, 510, 90
Tains Ants, Second Nation, 70: 858, 423, 278
Tains Ants, Second Nation, 71: 162, 597, 106
Tains Ants, Second Nation, 72: 858, 336, 294
Tains Ants, Second Nation, 73: 249, 684, 122
Tains Ants, Second Nation, 74: 771, 249, 310
Tains Ants, Second Nation, 75: 249, 771, 138
Tains Ants, Second Nation, 76: 684, 249, 326
Tains Ants, Second Nation, 77: 336, 858, 155
Tains Ants, Second Nation, 78: 597, 162, 343
Tains Ants, Second Nation, 79: 423, 858, 171
Tains Ants, Second Nation, 80: 510, 162, 359
Tains Ants, Second Nation, 81: 510, 858, 187
Tains Ants, Second Nation, 82: 423, 162, 15
Tains Ants, Second Nation, 83: 684, 858, 203
Tains Ants, Second Nation, 84: 336, 249, 31
Tains Ants, Second Nation, 85: 771, 771, 219
Tains Ants, Second Nation, 86: 249, 249, 47
Tains Ants, Second Nation, 87: 771, 684, 235
Tains Ants, Second Nation, 88: 162, 336, 63
Tains Ants, Second Nation, 89: 858, 597, 251
Tains Ants, Second Nation, 90: 162, 423, 79
Tains Ants, Second Nation, 91: 858, 510, 268
Tains Ants, Second Nation, 92: 162, 510, 96
Tains Ants, Second Nation, 93: 858, 423, 284
Tains Ants, Second Nation, 94: 162, 597, 112
Tains Ants, Second Nation, 95: 771, 336, 300
Tains Ants, Second Nation, 96: 249, 684, 128
Tains Ants, Second Nation, 97: 771, 249, 316
Tains Ants, Second Nation, 98: 336, 771, 144
Tains Ants, Second Nation, 99: 684, 162, 332
Tains Ants, Second Nation, 100: 423, 858, 160
*********************
 Round, 88:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 852, 588, 261
Tains Ants, First Nation, 2: 148, 500, 89
Tains Ants, First Nation, 3: 852, 500, 277
Tains Ants, First Nation, 4: 148, 588, 105
Tains Ants, First Nation, 5: 852, 324, 293
Tains Ants, First Nation, 6: 236, 676, 121
Tains Ants, First Nation, 7: 764, 236, 309
Tains Ants, First Nation, 8: 236, 764, 137
Tains Ants, First Nation, 9: 676, 236, 326
Tains Ants, First Nation, 10: 324, 852, 154
Tains Ants, First Nation, 11: 588, 148, 342
Tains Ants, First Nation, 12: 412, 852, 170
Tains Ants, First Nation, 13: 500, 148, 358
Tains Ants, First Nation, 14: 500, 852, 186
Tains Ants, First Nation, 15: 412, 148, 14
Tains Ants, First Nation, 16: 588, 852, 202
Tains Ants, First Nation, 17: 324, 236, 30
Tains Ants, First Nation, 18: 676, 764, 218
Tains Ants, First Nation, 19: 236, 236, 46
Tains Ants, First Nation, 20: 764, 676, 234
Tains Ants, First Nation, 21: 148, 324, 62
Tains Ants, First Nation, 22: 852, 588, 250
Tains Ants, First Nation, 23: 148, 412, 79
Tains Ants, First Nation, 24: 852, 500, 267
Tains Ants, First Nation, 25: 148, 500, 95
Tains Ants, First Nation, 26: 852, 412, 283
Tains Ants, First Nation, 27: 148, 588, 111
Tains Ants, First Nation, 28: 764, 324, 299
Tains Ants, First Nation, 29: 236, 676, 127
Tains Ants, First Nation, 30: 764, 236, 315
Tains Ants, First Nation, 31: 324, 764, 143
Tains Ants, First Nation, 32: 676, 236, 331
Tains Ants, First Nation, 33: 412, 852, 159
Tains Ants, First Nation, 34: 588, 148, 347
Tains Ants, First Nation, 35: 500, 852, 175
Tains Ants, First Nation, 36: 500, 148, 4
Tains Ants, First Nation, 37: 588, 852, 192
Tains Ants, First Nation, 38: 412, 148, 20
Tains Ants, First Nation, 39: 676, 852, 208
Tains Ants, First Nation, 40: 324, 236, 36
Tains Ants, First Nation, 41: 764, 764, 224
Tains Ants, First Nation, 42: 236, 324, 52
Tains Ants, First Nation, 43: 764, 676, 240
Tains Ants, First Nation, 44: 148, 412, 68
Tains Ants, First Nation, 45: 852, 588, 256
Tains Ants, First Nation, 46: 148, 500, 84
Tains Ants, First Nation, 47: 852, 500, 272
Tains Ants, First Nation, 48: 148, 588, 100
Tains Ants, First Nation, 49: 852, 412, 288
Tains Ants, First Nation, 50: 148, 676, 117
Tains Ants, Second Nation, 51: 774, 334, 305
Tains Ants, Second Nation, 52: 246, 774, 133
Tains Ants, Second Nation, 53: 774, 246, 321
Tains Ants, Second Nation, 54: 334, 774, 149
Tains Ants, Second Nation, 55: 686, 158, 337
Tains Ants, Second Nation, 56: 422, 862, 165
Tains Ants, Second Nation, 57: 510, 158, 353
Tains Ants, Second Nation, 58: 510, 862, 181
Tains Ants, Second Nation, 59: 422, 158, 9
Tains Ants, Second Nation, 60: 598, 862, 197
Tains Ants, Second Nation, 61: 334, 158, 25
Tains Ants, Second Nation, 62: 686, 774, 213
Tains Ants, Second Nation, 63: 246, 246, 41
Tains Ants, Second Nation, 64: 774, 774, 230
Tains Ants, Second Nation, 65: 246, 334, 58
Tains Ants, Second Nation, 66: 862, 686, 246
Tains Ants, Second Nation, 67: 158, 422, 74
Tains Ants, Second Nation, 68: 862, 598, 262
Tains Ants, Second Nation, 69: 158, 510, 90
Tains Ants, Second Nation, 70: 862, 422, 278
Tains Ants, Second Nation, 71: 158, 598, 106
Tains Ants, Second Nation, 72: 862, 334, 294
Tains Ants, Second Nation, 73: 246, 686, 122
Tains Ants, Second Nation, 74: 774, 246, 310
Tains Ants, Second Nation, 75: 246, 774, 138
Tains Ants, Second Nation, 76: 686, 246, 326
Tains Ants, Second Nation, 77: 334, 862, 155
Tains Ants, Second Nation, 78: 598, 158, 343
Tains Ants, Second Nation, 79: 422, 862, 171
Tains Ants, Second Nation, 80: 510, 158, 359
Tains Ants, Second Nation, 81: 510, 862, 187
Tains Ants, Second Nation, 82: 422, 158, 15
Tains Ants, Second Nation, 83: 686, 862, 203
Tains Ants, Second Nation, 84: 334, 246, 31
Tains Ants, Second Nation, 85: 774, 774, 219
Tains Ants, Second Nation, 86: 246, 246, 47
Tains Ants, Second Nation, 87: 774, 686, 235
Tains Ants, Second Nation, 88: 158, 334, 63
Tains Ants, Second Nation, 89: 862, 598, 251
Tains Ants, Second Nation, 90: 158, 422, 79
Tains Ants, Second Nation, 91: 862, 510, 268
Tains Ants, Second Nation, 92: 158, 510, 96
Tains Ants, Second Nation, 93: 862, 422, 284
Tains Ants, Second Nation, 94: 158, 598, 112
Tains Ants, Second Nation, 95: 774, 334, 300
Tains Ants, Second Nation, 96: 246, 686, 128
Tains Ants, Second Nation, 97: 774, 246, 316
Tains Ants, Second Nation, 98: 334, 774, 144
Tains Ants, Second Nation, 99: 686, 158, 332
Tains Ants, Second Nation, 100: 422, 862, 160
*********************
 Round, 89:
First Nation:Second Nation:
Tains Ants, First Nation, 1: 856, 589, 261
Tains Ants, First Nation, 2: 144, 500, 89
Tains Ants, First Nation, 3: 856, 500, 277
Tains Ants, First Nation, 4: 144, 589, 105
Tains Ants, First Nation, 5: 856, 322, 293
Tains Ants, First Nation, 6: 233, 678, 121
Tains Ants, First Nation, 7: 767, 233, 309
Tains Ants, First Nation, 8: 233, 767, 137
Tains Ants, First Nation, 9: 678, 233, 326
Tains Ants, First Nation, 10: 322, 856, 154
Tains Ants, First Nation, 11: 589, 144, 342
Tains Ants, First Nation, 12: 411, 856, 170
Tains Ants, First Nation, 13: 500, 144, 358
Tains Ants, First Nation, 14: 500, 856, 186
Tains Ants, First Nation, 15: 411, 144, 14
Tains Ants, First Nation, 16: 589, 856, 202
Tains Ants, First Nation, 17: 322, 233, 30
Tains Ants, First Nation, 18: 678, 767, 218
Tains Ants, First Nation, 19: 233, 233, 46
Tains Ants, First Nation, 20: 767, 678, 234
Tains Ants, First Nation, 21: 144, 322, 62
Tains Ants, First Nation, 22: 856, 589, 250
Tains Ants, First Nation, 23: 144, 411, 79
Tains Ants, First Nation, 24: 856, 500, 267
Tains Ants, First Nation, 25: 144, 500, 95
Tains Ants, First Nation, 26: 856, 411, 283
Tains Ants, First Nation, 27: 144, 589, 111
Tains Ants, First Nation, 28: 767, 322, 299
Tains Ants, First Nation, 29: 233, 678, 127
Tains Ants, First Nation, 30: 767, 233, 315
Tains Ants, First Nation, 31: 322, 767, 143
Tains Ants, First Nation, 32: 678, 233, 331
Tains Ants, First Nation, 33: 411, 856, 159
Tains Ants, First Nation, 34: 589, 144, 347
Tains Ants, First Nation, 35: 500, 856, 175
Tains Ants, First Nation, 36: 500, 144, 4
Tains Ants, First Nation, 37: 589, 856, 192
Tains Ants, First Nation, 38: 411, 144, 20
Tains Ants, First Nation, 39: 678, 856, 208
Tains Ants, First Nation, 40: 322, 233, 36
